totalnumber,identifier,rssi,snr,biterrors
0,00000_000t,-123,-4,0
1,00000_001t,-115,1,0
2,00000_002t,-116,0,0
3,00000_003t,-115,2,0
4,00000_004t,-115,2,0
5,00000_005t,-114,3,0
6,00000_006t,-114,2,0
7,00000_007t,-112,4,0
8,00000_008t,-115,2,0
9,00000_009t,-114,2,0
10,00000_010t,-116,0,0
11,00000_011t,-116,1,0
12,00000_012t,-116,1,0
13,00000_013t,-113,3,0
14,00000_014t,-114,2,0
15,00000_015t,-116,0,0
16,00000_016t,-118,-1,0
17,00000_017t,-124,-6,0
18,00000_018t,-121,-3,0
19,00000_019t,-122,-4,0
20,00000_020t,-116,0,0
21,00000_021t,-116,0,0
22,00000_022t,-115,1,0
23,00000_023t,-114,2,0
24,00000_024t,-115,1,0
25,00000_025t,-113,3,0
26,00000_026t,-113,3,0
27,00000_027t,-116,1,0
28,00000_028t,-114,2,0
29,00000_029t,-115,2,0
30,00000_030t,-115,1,0
31,00000_031t,-114,2,0
32,00000_032t,-114,2,0
33,00000_033t,-113,3,0
34,00000_034t,-114,2,0
35,00000_035t,-114,3,0
36,00000_036t,-113,4,0
37,00000_037t,-113,3,0
38,00000_038t,-114,3,0
39,00000_039t,-114,3,0
40,00000_040t,-113,1,0
41,00000_041t,-116,0,0
42,00000_042t,-115,3,0
43,00000_043t,-114,2,0
44,00000_044t,-115,1,0
45,00000_045t,-116,1,0
46,00000_046t,-114,2,0
47,00000_047t,-113,3,0
48,00000_048t,-113,4,0
49,00000_049t,-113,3,0
50,00010_000t,-113,4,0
51,00010_001t,-113,4,0
52,00010_002t,-114,3,0
53,00010_003t,-113,3,0
54,00010_004t,-114,3,0
55,00010_005t,-113,3,0
56,00010_006t,-114,3,0
57,00010_007t,-113,3,0
59,00010_009t,-114,2,0
60,00010_010t,-114,3,0
61,00010_011t,-113,3,0
62,00010_012t,-114,3,0
63,00010_013t,-114,3,0
64,00010_014t,-113,3,0
65,00010_015t,-114,4,0
66,00010_016t,-113,3,0
67,00010_017t,-113,3,0
68,00010_018t,-114,4,0
69,00010_019t,-113,4,0
70,00010_020t,-112,4,0
71,00010_021t,-114,3,0
72,00010_022t,-114,3,0
73,00010_023t,-113,3,0
74,00010_024t,-115,3,0
75,00010_025t,-113,3,0
76,00010_026t,-115,1,0
77,00010_027t,-114,2,0
78,00010_028t,-115,1,0
79,00010_029t,-115,2,0
80,00010_030t,-114,3,0
81,00010_031t,-115,1,0
82,00010_032t,-115,2,0
83,00010_033t,-115,2,0
84,00010_034t,-114,3,0
85,00010_035t,-114,3,0
86,00010_036t,-113,4,0
87,00010_037t,-114,3,0
88,00010_038t,-115,2,0
89,00010_039t,-114,3,0
90,00010_040t,-114,2,0
91,00010_041t,-113,3,0
92,00010_042t,-113,4,0
93,00010_043t,-112,4,0
94,00010_044t,-113,4,0
95,00010_045t,-113,4,0
96,00010_046t,-113,4,0
97,00010_047t,-114,3,0
98,00010_048t,-113,4,0
99,00010_049t,-113,4,0
100,00020_000t,-114,3,0
101,00020_001t,-115,1,0
102,00020_002t,-115,1,0
103,00020_003t,-118,-1,0
104,00020_004t,-115,2,0
105,00020_005t,-116,1,0
106,00020_006t,-114,2,0
107,00020_007t,-117,0,0
108,00020_008t,-117,0,0
109,00020_009t,-115,2,0
110,00020_010t,-116,0,0
111,00020_011t,-117,0,0
112,00020_012t,-116,1,0
113,00020_013t,-116,1,0
114,00020_014t,-118,-1,0
115,00020_015t,-115,2,0
116,00020_016t,-117,0,0
117,00020_017t,-118,-1,0
118,00020_018t,-116,1,0
119,00020_019t,-117,0,0
120,00020_020t,-115,2,0
121,00020_021t,-114,3,0
122,00020_022t,-115,2,0
123,00020_023t,-115,2,0
124,00020_024t,-115,3,0
125,00020_025t,-115,2,0
126,00020_026t,-113,4,0
127,00020_027t,-115,2,0
128,00020_028t,-114,3,0
129,00020_029t,-114,3,0
130,00020_030t,-114,3,0
131,00020_031t,-116,2,0
132,00020_032t,-115,2,0
133,00020_033t,-114,4,0
134,00020_034t,-113,3,0
135,00020_035t,-113,4,0
136,00020_036t,-113,3,0
137,00020_037t,-114,3,0
138,00020_038t,-113,4,0
139,00020_039t,-114,3,0
140,00020_040t,-112,4,0
141,00020_041t,-114,4,0
142,00020_042t,-112,4,0
143,00020_043t,-112,4,0
144,00020_044t,-112,4,0
145,00020_045t,-113,4,0
146,00020_046t,-113,4,0
147,00020_047t,-112,4,0
148,00020_048t,-115,1,0
149,00020_049t,-112,4,0
150,00030_000t,-113,4,0
151,00030_001t,-113,4,0
152,00030_002t,-113,4,0
153,00030_003t,-113,4,0
154,00030_004t,-112,-1,0
155,00030_005t,-115,1,0
156,00030_006t,-114,3,0
157,00030_007t,-114,3,0
158,00030_008t,-114,3,0
159,00030_009t,-113,4,0
160,00030_010t,-113,4,0
161,00030_011t,-112,4,0
162,00030_012t,-113,4,0
163,00030_013t,-113,4,0
164,00030_014t,-114,3,0
165,00030_015t,-113,3,0
166,00030_016t,-114,3,0
167,00030_017t,-115,2,0
168,00030_018t,-119,-2,0
169,00030_019t,-115,2,0
170,00030_020t,-116,2,0
171,00030_021t,-114,2,0
172,00030_022t,-112,5,0
173,00030_023t,-113,4,0
174,00030_024t,-113,3,0
175,00030_025t,-113,3,0
176,00030_026t,-114,3,0
177,00030_027t,-113,3,0
178,00030_028t,-113,4,0
179,00030_029t,-115,2,0
180,00030_030t,-115,2,0
181,00030_031t,-115,2,0
182,00030_032t,-115,3,0
183,00030_033t,-113,3,0
184,00030_034t,-113,4,0
185,00030_035t,-113,4,0
186,00030_036t,-113,4,0
187,00030_037t,-112,5,0
188,00030_038t,-113,4,0
189,00030_039t,-113,4,0
190,00030_040t,-114,3,0
191,00030_041t,-113,4,0
192,00030_042t,-114,3,0
193,00030_043t,-114,3,0
194,00030_044t,-115,3,0
195,00030_045t,-115,2,0
196,00030_046t,-113,3,0
197,00030_047t,-113,4,0
198,00030_048t,-115,2,0
199,00030_049t,-114,3,0
200,00200_000t,-115,3,0
201,00200_001t,-113,4,0
202,00200_002t,-113,4,0
203,00200_003t,-113,5,0
204,00200_004t,-113,5,0
205,00200_005t,-114,4,0
206,00200_006t,-114,3,0
207,00200_007t,-113,4,0
208,00200_008t,-115,3,0
209,00200_009t,-117,0,0
210,00200_010t,-117,0,0
211,00200_011t,-115,1,0
212,00200_012t,-115,2,0
213,00200_013t,-114,3,0
214,00200_014t,-114,3,0
215,00200_015t,-115,3,0
217,00200_017t,-116,2,0
218,00200_018t,-115,3,0
219,00200_019t,-115,3,0
220,00200_020t,-116,1,0
221,00200_021t,-114,4,0
222,00200_022t,-114,4,0
223,00200_023t,-114,4,0
224,00200_024t,-114,4,0
225,00200_025t,-114,3,0
226,00200_026t,-113,4,0
227,00200_027t,-114,4,0
228,00200_028t,-114,4,0
229,00200_029t,-113,5,0
230,00200_030t,-112,5,0
231,00200_031t,-113,4,0
232,00200_032t,-113,4,0
233,00200_033t,-114,3,0
234,00200_034t,-112,5,0
235,00200_035t,-113,5,0
236,00200_036t,-115,2,0
237,00200_037t,-116,2,0
238,00200_038t,-114,4,0
239,00200_039t,-113,4,0
240,00200_040t,-112,5,0
241,00200_041t,-112,5,0
242,00200_042t,-111,6,0
243,00200_043t,-111,6,0
244,00200_044t,-112,5,0
245,00200_045t,-113,5,0
246,00200_046t,-112,4,0
247,00200_047t,-112,4,0
248,00200_048t,-113,5,0
249,00200_049t,-112,5,0
250,00210_000t,-112,4,0
251,00210_001t,-112,4,0
252,00210_002t,-113,5,0
253,00210_003t,-112,5,0
254,00210_004t,-113,5,0
255,00210_005t,-112,5,0
256,00210_006t,-114,4,0
257,00210_007t,-116,2,0
258,00210_008t,-116,2,0
259,00210_009t,-115,3,0
260,00210_010t,-113,5,0
261,00210_011t,-113,5,0
262,00210_012t,-112,5,0
263,00210_013t,-114,4,0
264,00210_014t,-114,3,0
265,00210_015t,-118,0,0
266,00210_016t,-114,4,0
267,00210_017t,-114,4,0
268,00210_018t,-113,5,0
269,00210_019t,-115,4,0
270,00210_020t,-115,3,0
271,00210_021t,-115,3,0
272,00210_022t,-113,5,0
273,00210_023t,-114,4,0
274,00210_024t,-114,4,0
275,00210_025t,-114,4,0
276,00210_026t,-113,4,0
277,00210_027t,-115,3,0
278,00210_028t,-114,3,0
279,00210_029t,-114,4,0
280,00210_030t,-114,3,0
281,00210_031t,-115,4,0
282,00210_032t,-115,3,0
283,00210_033t,-114,4,0
284,00210_034t,-114,3,0
285,00210_035t,-113,5,0
286,00210_036t,-113,4,0
287,00210_037t,-115,3,0
288,00210_038t,-114,4,0
289,00210_039t,-114,4,0
290,00210_040t,-117,0,0
291,00210_041t,-116,2,0
292,00210_042t,-115,3,0
293,00210_043t,-113,4,0
294,00210_044t,-115,4,0
295,00210_045t,-114,4,0
296,00210_046t,-114,4,0
297,00210_047t,-113,5,0
298,00210_048t,-115,4,0
299,00210_049t,-113,4,0
300,00220_000t,-112,5,0
301,00220_001t,-112,5,0
302,00220_002t,-114,4,0
303,00220_003t,-112,5,0
304,00220_004t,-112,4,0
305,00220_005t,-113,4,0
306,00220_006t,-113,5,0
307,00220_007t,-113,5,0
308,00220_008t,-115,3,0
309,00220_009t,-114,4,0
310,00220_010t,-114,4,0
311,00220_011t,-113,4,0
312,00220_012t,-116,2,0
313,00220_013t,-114,4,0
314,00220_014t,-113,4,0
315,00220_015t,-114,4,0
316,00220_016t,-112,5,0
317,00220_017t,-112,5,0
318,00220_018t,-113,5,0
319,00220_019t,-113,4,0
320,00220_020t,-114,4,0
321,00220_021t,-112,4,0
322,00220_022t,-112,4,0
323,00220_023t,-112,5,0
324,00220_024t,-112,4,0
325,00220_025t,-111,4,0
326,00220_026t,-113,5,0
327,00220_027t,-113,5,0
328,00220_028t,-112,5,0
329,00220_029t,-113,4,0
330,00220_030t,-112,4,0
331,00220_031t,-113,4,0
332,00220_032t,-113,5,0
333,00220_033t,-113,4,0
334,00220_034t,-112,4,0
335,00220_035t,-113,4,0
336,00220_036t,-113,4,0
337,00220_037t,-114,4,0
338,00220_038t,-115,4,0
339,00220_039t,-115,3,0
340,00220_040t,-113,4,0
341,00220_041t,-114,4,0
342,00220_042t,-114,4,0
343,00220_043t,-115,3,0
344,00220_044t,-114,4,0
345,00220_045t,-116,1,0
346,00220_046t,-114,4,0
347,00220_047t,-114,4,0
348,00220_048t,-113,4,0
349,00220_049t,-111,6,0
350,00230_000t,-114,4,0
351,00230_001t,-112,4,0
352,00230_002t,-112,4,0
353,00230_003t,-111,5,0
354,00230_004t,-113,4,0
355,00230_005t,-113,4,0
356,00230_006t,-112,4,0
357,00230_007t,-113,5,0
358,00230_008t,-113,5,0
359,00230_009t,-113,5,0
360,00230_010t,-113,4,0
361,00230_011t,-113,4,0
362,00230_012t,-115,3,0
363,00230_013t,-113,4,0
364,00230_014t,-113,5,0
365,00230_015t,-114,4,0
366,00230_016t,-113,4,0
367,00230_017t,-113,4,0
368,00230_018t,-114,4,0
369,00230_019t,-113,4,0
370,00230_020t,-114,4,0
371,00230_021t,-116,2,0
372,00230_022t,-115,1,0
373,00230_023t,-114,3,0
374,00230_024t,-116,2,0
375,00230_025t,-117,0,0
376,00230_026t,-114,4,0
377,00230_027t,-117,0,0
378,00230_028t,-118,-1,0
379,00230_029t,-115,2,0
380,00230_030t,-115,3,0
381,00230_031t,-114,3,0
383,00230_033t,-115,2,0
384,00230_034t,-115,1,0
385,00230_035t,-116,2,0
386,00230_036t,-115,3,0
387,00230_037t,-116,2,0
388,00230_038t,-115,2,0
389,00230_039t,-113,4,0
390,00230_040t,-114,4,0
391,00230_041t,-112,4,0
392,00230_042t,-114,4,0
393,00230_043t,-114,4,0
394,00230_044t,-114,3,0
395,00230_045t,-112,4,0
396,00230_046t,-114,4,0
397,00230_047t,-113,4,0
398,00230_048t,-114,4,0
399,00230_049t,-116,2,0
400,00400_000t,-113,4,0
401,00400_001t,-113,5,0
402,00400_002t,-113,4,0
403,00400_003t,-114,4,0
404,00400_004t,-112,5,0
405,00400_005t,-113,4,0
406,00400_006t,-112,5,0
407,00400_007t,-113,5,0
408,00400_008t,-112,5,0
409,00400_009t,-113,5,0
410,00400_010t,-112,5,0
411,00400_011t,-113,5,0
412,00400_012t,-113,5,0
413,00400_013t,-113,5,0
414,00400_014t,-113,5,0
415,00400_015t,-111,5,0
416,00400_016t,-112,5,0
417,00400_017t,-114,5,0
418,00400_018t,-113,5,0
419,00400_019t,-113,5,0
420,00400_020t,-113,5,0
421,00400_021t,-113,4,0
422,00400_022t,-114,5,0
423,00400_023t,-113,4,0
424,00400_024t,-112,4,0
425,00400_025t,-112,4,0
426,00400_026t,-111,5,0
427,00400_027t,-111,5,0
