totalnumber,identifier,rssi,snr,biterrors
0,00110_000t,-125,-7,0
1,00110_001t,-124,-6,0
2,00110_002t,-124,-6,0
4,00110_004t,-124,-5,0
5,00110_005t,-125,-6,0
6,00110_006t,-124,-6,0
7,00110_007t,-125,-7,0
8,00110_008t,-126,-8,0
9,00110_009t,-124,-6,0
10,00110_010t,-128,-9,0
11,00110_011t,-128,-9,0
12,00110_012t,-130,-11,0
13,00110_013t,-126,-8,0
14,00110_014t,-126,-8,0
15,00110_015t,-125,-6,0
16,00110_016t,-127,-8,0
17,00110_017t,-125,-7,0
18,00110_018t,-124,-6,0
19,00110_019t,-125,-6,0
20,00110_020t,-124,-6,0
21,00110_021t,-125,-7,0
22,00110_022t,-128,-9,0
23,00110_023t,-126,-8,0
24,00110_024t,-128,-10,0
25,00110_025t,-127,-9,0
26,00110_026t,-129,-11,0
27,00110_027t,-128,-10,0
28,00110_028t,-130,-11,0
29,00110_029t,-129,-10,0
30,00110_030t,-127,-9,0
31,00110_031t,-129,-11,0
32,00110_032t,-128,-9,0
33,00110_033t,-127,-9,0
34,00110_034t,-125,-7,0
35,00110_035t,-126,-7,0
36,00110_036t,-126,-8,0
37,00110_037t,-128,-9,0
38,00110_038t,-126,-7,0
39,00110_039t,-125,-7,0
40,00110_040t,-124,-6,0
41,00110_041t,-124,-6,0
42,00110_042t,-122,-5,0
43,00110_043t,-122,-4,0
44,00110_044t,-125,-7,0
45,00110_045t,-123,-5,0
46,00110_046t,-125,-7,0
50,00310_000t,-127,-8,0
51,00310_001t,-127,-8,0
52,00310_002t,-128,-9,0
53,00310_003t,-127,-9,0
54,00310_004t,-128,-10,0
55,00310_005t,-127,-9,0
56,00310_006t,-130,-11,0
57,00310_007t,-129,-10,0
58,00310_008t,-130,-11,0
59,00310_009t,-131,-12,0
60,00310_010t,-127,-9,0
61,00310_011t,-127,-9,0
62,00310_012t,-125,-7,0
63,00310_013t,-125,-7,0
64,00310_014t,-126,-7,0
65,00310_015t,-124,-6,0
66,00310_016t,-123,-5,0
67,00310_017t,-123,-5,0
68,00310_018t,-124,-6,0
69,00310_019t,-124,-6,0
70,00310_020t,-123,-5,0
71,00310_021t,-124,-5,0
72,00310_022t,-124,-6,0
73,00310_023t,-123,-5,0
74,00310_024t,-126,-7,0
75,00310_025t,-124,-6,0
76,00310_026t,-126,-8,0
77,00310_027t,-127,-9,0
78,00310_028t,-128,-9,0
79,00310_029t,-126,-8,0
80,00310_030t,-127,-8,0
81,00310_031t,-126,-8,0
82,00310_032t,-127,-9,0
83,00310_033t,-127,-8,0
84,00310_034t,-129,-10,0
85,00310_035t,-126,-8,0
86,00310_036t,-126,-8,0
87,00310_037t,-125,-7,0
88,00310_038t,-124,-6,0
89,00310_039t,-124,-6,0
90,00310_040t,-124,-6,0
91,00310_041t,-124,-6,0
92,00310_042t,-123,-5,0
93,00310_043t,-123,-5,0
94,00310_044t,-123,-5,0
95,00310_045t,-124,-6,0
96,00310_046t,-123,-5,0
100,00510_000t,-125,-7,0
101,00510_001t,-127,-8,0
102,00510_002t,-127,-9,0
103,00510_003t,-127,-8,0
104,00510_004t,-127,-8,0
105,00510_005t,-125,-7,0
106,00510_006t,-127,-8,0
107,00510_007t,-124,-6,0
108,00510_008t,-124,-6,0
109,00510_009t,-124,-6,0
110,00510_010t,-124,-6,0
112,00510_011f,-123,-4,84
113,00510_012f,-123,-5,90
114,00510_013f,-123,-4,88
115,00510_014f,-123,-5,86
116,00510_015f,-123,-5,85
117,00510_016f,-123,-5,90
118,00510_017f,-122,-4,81
119,00510_018f,-122,-4,75
120,00510_019f,-123,-5,82
121,00510_020f,-123,-5,89
122,00510_021f,-123,-5,90
123,00510_022f,-124,-6,79
124,00510_023f,-127,-8,86
125,00510_024f,-127,-9,92
126,00510_025f,-127,-9,91
127,00510_026f,-127,-8,90
128,00510_027f,-129,-10,75
129,00510_028f,-127,-8,77
130,00510_029f,-124,-6,80
131,00510_030f,-124,-6,82
132,00510_031f,-124,-5,87
133,00510_032f,-122,-4,85
135,00510_033f,-124,-5,81
136,00510_034f,-124,-6,80
137,00510_035f,-122,-4,91
138,00510_036f,-123,-5,89
139,00510_037f,-123,-5,93
140,00510_038f,-124,-6,83
141,00510_039f,-123,-5,72
142,00510_040f,-124,-6,89
143,00510_041f,-124,-6,85
144,00510_042f,-125,-7,83
145,00510_043f,-125,-8,81
146,00510_044f,-126,-8,85
147,00510_045f,-124,-6,88
148,00510_046f,-123,-5,87
153,01110_001f,-128,-12,69
154,01110_002f,-124,-8,96
156,01110_004f,-125,-9,80
157,01110_005f,-124,-9,82
158,01110_006f,-125,-10,88
159,01110_007f,-127,-11,91
160,01110_008f,-128,-11,86
161,01110_009f,-126,-10,88
162,01110_010f,-124,-9,76
163,01110_011f,-126,-10,78
165,01110_013f,-125,-9,92
166,01110_014f,-125,-9,81
167,01110_015f,-126,-9,79
168,01110_016f,-126,-10,91
169,01110_017f,-125,-9,88
170,01110_018f,-125,-9,93
171,01110_019f,-125,-9,83
173,01110_021f,-126,-10,93
174,01110_022f,-126,-10,83
175,01110_023f,-125,-10,84
176,01110_024f,-126,-10,83
177,01110_025f,-125,-9,85
178,01110_026f,-125,-9,93
179,01110_027f,-126,-10,88
180,01110_028f,-125,-9,87
181,01110_029f,-124,-9,80
182,01110_030f,-127,-11,75
183,01110_031f,-126,-10,86
184,01110_032f,-126,-10,91
185,01110_033f,-127,-11,81
186,01110_034f,-127,-11,80
187,01110_035f,-127,-11,91
188,01110_036f,-126,-10,89
189,01110_037f,-125,-9,93
190,01110_038f,-123,-8,83
191,01110_039f,-124,-8,72
192,01110_040f,-125,-9,89
193,01110_041f,-124,-9,85
194,01110_042f,-126,-10,83
195,01110_043f,-125,-9,81
196,01110_044f,-125,-9,85
197,01110_045f,-126,-11,88
198,01110_046f,-125,-9,87
202,01310_000f,-128,-12,80
203,01310_001f,-128,-11,69
204,01310_002f,-125,-9,96
205,01310_003f,-126,-10,83
206,01310_004f,-124,-8,80
207,01310_005f,-124,-8,82
208,01310_006f,-124,-8,88
209,01310_007f,-124,-9,91
210,01310_008f,-125,-10,86
211,01310_009f,-125,-9,88
212,01310_010f,-126,-10,76
213,01310_011f,-125,-9,78
214,01310_012f,-124,-9,86
215,01310_013f,-126,-10,92
216,01310_014f,-126,-10,81
217,01310_015f,-126,-10,79
218,01310_016f,-129,-12,91
219,01310_017f,-126,-10,88
220,01310_018f,-126,-10,93
221,01310_019f,-125,-9,83
222,01310_020f,-125,-9,69
223,01310_021f,-125,-9,93
224,01310_022f,-124,-8,83
225,01310_023f,-125,-9,84
226,01310_024f,-126,-10,83
227,01310_025f,-125,-10,85
228,01310_026f,-126,-10,93
229,01310_027f,-127,-10,88
230,01310_028f,-127,-11,87
231,01310_029f,-125,-10,80
232,01310_030f,-128,-12,75
233,01310_031f,-127,-11,86
234,01310_032f,-129,-13,91
235,01310_033f,-129,-12,81
236,01310_034f,-126,-10,80
237,01310_035f,-126,-10,91
238,01310_036f,-126,-10,89
239,01310_037f,-125,-9,93
240,01310_038f,-124,-8,83
241,01310_039f,-126,-10,72
242,01310_040f,-125,-9,89
243,01310_041f,-125,-10,85
244,01310_042f,-127,-11,83
245,01310_043f,-126,-10,81
246,01310_044f,-127,-11,85
247,01310_045f,-128,-12,88
248,01310_046f,-127,-11,87
252,01510_000f,-125,-9,80
253,01510_001f,-125,-9,69
254,01510_002f,-124,-8,96
255,01510_003f,-123,-7,83
256,01510_004f,-126,-9,80
257,01510_005f,-125,-9,82
258,01510_006f,-126,-10,88
259,01510_007f,-126,-10,91
260,01510_008f,-125,-9,86
261,01510_009f,-125,-9,88
262,01510_010f,-127,-11,76
264,01510_011f,-128,-12,78
265,01510_012f,-127,-11,78
266,01510_013f,-127,-11,73
