totalnumber,identifier,rssi,snr,biterrors
0,00110_000t,-118,-2,0
1,00110_001t,-120,-3,0
2,00110_002t,-119,-2,0
3,00110_003t,-119,-2,0
4,00110_004t,-118,-2,0
5,00110_005t,-119,-3,0
6,00110_006t,-120,-3,0
7,00110_007t,-120,-3,0
8,00110_008t,-120,-3,0
9,00110_009t,-120,-3,0
10,00110_010t,-120,-3,0
11,00110_011t,-120,-3,0
12,00110_012t,-120,-3,0
13,00110_013t,-118,-2,0
14,00110_014t,-119,-2,0
15,00110_015t,-121,-4,0
16,00110_016t,-120,-3,0
17,00110_017t,-119,-3,0
18,00110_018t,-119,-3,0
19,00110_019t,-119,-3,0
20,00110_020t,-120,-4,0
21,00110_021t,-120,-4,0
22,00110_022t,-119,-2,0
23,00110_023t,-121,-4,0
24,00110_024t,-119,-3,0
25,00110_025t,-120,-3,0
26,00110_026t,-120,-3,0
27,00110_027t,-119,-2,0
28,00110_028t,-120,-4,0
29,00110_029t,-121,-6,0
30,00110_030t,-120,-3,0
31,00110_031t,-119,-3,0
32,00110_032t,-122,-4,0
33,00110_033t,-123,-5,0
34,00110_034t,-118,-2,0
35,00110_035t,-119,-2,0
36,00110_036t,-119,-3,0
37,00110_037t,-120,-3,0
38,00110_038t,-119,-2,0
39,00110_039t,-120,-3,0
40,00110_040t,-118,-2,0
41,00110_041t,-121,-4,0
42,00110_042t,-119,-2,0
43,00110_043t,-118,-2,0
44,00110_044t,-119,-2,0
45,00110_045t,-119,-2,0
46,00110_046t,-120,-3,0
47,00110_047t,-120,-3,0
48,00110_048t,-120,-3,0
49,00110_049t,-120,-3,0
50,00310_000t,-119,-2,0
51,00310_001t,-118,-2,0
52,00310_002t,-118,-2,0
53,00310_003t,-119,-3,0
54,00310_004t,-119,-3,0
55,00310_005t,-122,-4,0
56,00310_006t,-122,-4,0
57,00310_007t,-122,-8,0
58,00310_008t,-120,-3,0
59,00310_009t,-118,-2,0
60,00310_010t,-120,-3,0
61,00310_011t,-119,-2,0
62,00310_012t,-119,-2,0
63,00310_013t,-118,-2,0
64,00310_014t,-118,-2,0
65,00310_015t,-119,-3,0
66,00310_016t,-119,-2,0
67,00310_017t,-119,-2,0
68,00310_018t,-118,-2,0
69,00310_019t,-118,-2,0
70,00310_020t,-121,-4,0
71,00310_021t,-118,-2,0
72,00310_022t,-121,-4,0
73,00310_023t,-119,-2,0
74,00310_024t,-119,-2,0
75,00310_025t,-119,-3,0
76,00310_026t,-118,-2,0
77,00310_027t,-119,-2,0
78,00310_028t,-120,-3,0
79,00310_029t,-119,-2,0
80,00310_030t,-119,-2,0
81,00310_031t,-119,-2,0
