totalnumber,identifier,rssi,snr,biterrors
53,0�����p�f,-138,-19,64
62,00310_012t,-136,-17,0
67,00310_017t,-135,-16,0
71,00310_021f,-137,-18,5
72,00310_022t,-136,-17,0
75,00310_025t,-135,-16,0
76,00310_026t,-136,-17,0
88,0��ٲ�638f,-137,-18,19
99,00310_049t,-135,-16,0
100,00510_000t,-139,-20,0
101,00510_001t,-137,-18,0
102,00510_002t,-136,-17,0
103,00510_003t,-136,-17,0
104,00510_004t,-137,-18,0
105,00510_005t,-136,-17,0
106,00510_006t,-138,-19,0
108,00510_008f,-139,-20,1
109,00510_009t,-138,-19,0
111,00510_011t,-137,-17,0
113,00510_013t,-137,-17,0
114,00510_014t,-137,-18,0
115,00510_015t,-136,-17,0
116,00510_016t,-135,-16,0
117,00510_017t,-138,-19,0
118,00510_018t,-138,-19,0
119,00510_019t,-139,-20,0
120,00510_020t,-139,-20,0
122,00U16_V2�f,-141,-22,42
124,00510_024t,-137,-18,0
125,00510_025t,-139,-20,0
126,00510_026t,-138,-19,0
127,00510_027t,-137,-18,0
132,00510_032t,-136,-17,0
133,00510_033t,-135,-16,0
134,00510_034t,-134,-16,0
136,00510_036t,-135,-16,0
137,00510_037t,-136,-18,0
138,00510_038t,-139,-20,0
139,00510_039t,-138,-19,0
140,00510_040t,-138,-19,0
141,00510_041t,-141,-22,0
144,00510_044t,-136,-17,0
145,00510_045t,-138,-19,0
146,00510_046t,-139,-20,0
149,00510_049t,-138,-20,0
252,01510_002t,-136,-20,0
253,01510_003t,-134,-18,0
255,01510_005f,-139,-22,18
260,01510_010t,-137,-21,0
261,01510_011t,-135,-19,0
263,01510_013t,-136,-20,0
264,01510_014t,-136,-20,0
265,01510_015t,-134,-18,0
266,01510_016t,-134,-18,0
267,01510_017t,-135,-19,0
268,01510_018t,-135,-19,0
269,01510_019t,-136,-20,0
270,01510_020t,-137,-21,0
271,01510_021t,-136,-20,0
272,01510_022t,-136,-20,0
274,01510_0�4f,-138,-22,66
277,01510_027f,-138,-22,2
280,01510_030f,-138,-21,14
281,01510_031t,-136,-20,0
282,01510_032t,-135,-19,0
283,01510_033t,-134,-18,0
284,01510_034t,-134,-18,0
285,01510_035t,-135,-19,0
286,01510_036t,-135,-19,0
291,01510_041f,-137,-21,2
293,01510_043t,-137,-21,0
295,01510_045f,-139,-22,10
297,01510_047f,-138,-22,18
299,01510_049t,-137,-21,0
