totalnumber,identifier,rssi,snr,biterrors
50,00310_000t,-136,-17,0
51,00310_001t,-135,-16,0
52,00310_002t,-135,-16,0
53,00310_003t,-137,-18,0
54,00310_004t,-135,-16,0
55,00310_005t,-132,-14,0
56,00310_006t,-135,-16,0
57,00310_007t,-135,-16,0
60,00310_010t,-137,-18,0
63,00310_013t,-135,-15,0
64,00310_014t,-136,-17,0
68,00310_018t,-135,-16,0
69,00310_019t,-137,-18,0
71,00310_021t,-135,-16,0
72,00310_022t,-135,-16,0
75,00310_025t,-135,-16,0
76,00310_026t,-136,-16,0
77,00310_027t,-133,-14,0
78,00310_028t,-131,-12,0
79,00310_029t,-132,-13,0
80,00310_030t,-133,-14,0
81,00310_031t,-134,-15,0
82,00310_032t,-135,-16,0
83,00310_033t,-135,-16,0
84,00310_034t,-134,-16,0
85,00310_035t,-136,-17,0
86,00310_036t,-136,-17,0
89,00310_039f,-136,-17,1
92,00310_042f,-136,-17,2
93,00310_043t,-136,-17,0
96,00310_046t,-135,-16,0
99,003�p_0=�f,-138,-19,32
100,00510_000t,-134,-15,0
101,00510_001t,-135,-15,0
102,00510_002t,-135,-16,0
103,00510_003t,-134,-15,0
104,00510_004t,-135,-16,0
105,00510_005t,-135,-16,0
106,00510_006t,-134,-16,0
107,00510_007t,-135,-16,0
108,00510_008t,-134,-15,0
109,00510_009t,-136,-16,0
110,00510_010t,-137,-18,0
111,00510_011t,-138,-19,0
112,00510_012t,-138,-19,0
114,00510_014t,-136,-17,0
115,00510_015t,-135,-16,0
116,00510_016t,-135,-16,0
117,00510_017t,-134,-15,0
118,00510_018t,-136,-17,0
119,00510_019t,-133,-14,0
120,00510_020t,-134,-14,0
121,00510_021t,-134,-15,0
122,00510_022t,-135,-16,0
123,00510_023t,-136,-17,0
124,00510_024t,-135,-16,0
125,00510_025t,-134,-15,0
126,00510_026t,-134,-15,0
127,00510_027t,-133,-14,0
128,00510_028t,-134,-15,0
129,00510_029t,-134,-15,0
130,00510_030t,-135,-16,0
131,00510_031t,-135,-16,0
132,00510_032t,-136,-17,0
133,00510_033t,-135,-16,0
134,00510_034t,-136,-17,0
135,00510_035t,-134,-15,0
136,00510_036t,-134,-15,0
137,00510_037t,-134,-15,0
138,00510_038t,-137,-18,0
139,00510_039t,-135,-16,0
140,00510_040t,-136,-17,0
141,00510_041t,-136,-17,0
142,00510_042t,-137,-18,0
143,00510_043t,-137,-17,0
144,00510_044t,-136,-16,0
145,00510_045t,-136,-17,0
146,00510_046t,-136,-17,0
147,00510_047t,-136,-17,0
148,00510_048t,-137,-18,0
149,00510_049t,-138,-19,0
203,01310_003f,-134,-18,3
205,01310_005t,-133,-17,0
211,01310_011t,-133,-17,0
213,01310_013f,-134,-18,5
215,01310_015t,-133,-17,0
216,01310_016t,-132,-16,0
220,01310_020f,-134,-18,20
232,01310_032f,-135,-19,19
235,01310_03$f,-134,-18,7
246,01310_046t,-134,-18,0
250,01510_000t,-137,-20,0
251,01510_001t,-135,-19,0
252,01510_002t,-136,-20,0
253,01510_003t,-135,-19,0
254,01510_004t,-136,-19,0
255,01510_005t,-136,-20,0
257,01510_007t,-137,-21,0
259,01510_009t,-138,-21,0
261,01510_011t,-138,-21,0
262,01510_012t,-137,-21,0
264,01510_014t,-136,-20,0
265,01510_015t,-136,-20,0
268,01510_0Q>f,-138,-22,12
270,01510_020t,-137,-20,0
272,01510_022f,-138,-22,7
274,01510\014f,-138,-22,4
277,015W6?P27f,-139,-23,60
292,01510_042f,-136,-20,4
293,01510_043t,-137,-21,0
296,01510_046f,-137,-21,4
299,01510_049f,-138,-22,9
