totalnumber,identifier,rssi,snr,biterrors
13,0�!=�W�93f,-133,-13,52
29,P67Q0_029f,-132,-13,8
40,00110_040t,-131,-12,0
42,00110_042t,-132,-12,0
50,00310_000t,-134,-14,0
51,00310_001t,-134,-14,0
52,00310_002t,-134,-15,0
53,00310_003t,-136,-16,0
54,00310_004t,-137,-18,0
55,00310_005t,-135,-15,0
56,00310_006t,-136,-16,0
57,00310_007t,-135,-16,0
58,00310_008t,-135,-16,0
59,00310_009t,-136,-16,0
60,00310_010t,-136,-17,0
61,00310_011t,-136,-16,0
73,00�90��=f,-138,-19,52
75,00310_025t,-136,-17,0
77,00310_027t,-136,-17,0
78,00310_028t,-136,-17,0
79,00310_029t,-135,-16,0
80,00310_030t,-135,-16,0
82,00310_032t,-136,-16,0
83,00310_033t,-135,-16,0
88,00310_038f,-135,-18,2
90,00310_040t,-134,-15,0
91,00310_041t,-131,-12,0
92,00310_042t,-133,-14,0
93,00310_043t,-131,-13,0
94,00310_044t,-131,-14,0
95,00310_045t,-133,-17,0
96,00310_046t,-132,-15,0
97,00310_047t,-133,-14,0
98,00310_048t,-134,-15,0
99,00310_049t,-135,-16,0
100,00510_000t,-133,-13,0
101,00510_001t,-133,-14,0
102,00510_002t,-135,-15,0
103,00510_003t,-132,-13,0
104,00510_004t,-134,-14,0
105,00510_005t,-133,-13,0
106,00510_006t,-134,-15,0
107,00510_007t,-133,-14,0
108,00510_008t,-134,-15,0
109,00510_009t,-135,-17,0
110,00510_010t,-136,-16,0
111,00510_011t,-138,-19,0
112,00510_012t,-138,-19,0
113,00510_013t,-139,-20,0
114,00510_014t,-139,-19,0
115,00510_015t,-139,-19,0
116,00510_016t,-137,-17,0
117,00510_017t,-134,-15,0
118,00510_018t,-136,-17,0
119,00510_019t,-136,-16,0
120,00510_020t,-136,-16,0
121,00510_021t,-136,-17,0
122,00510_022t,-135,-16,0
123,00510_023t,-137,-17,0
124,00510_024t,-137,-18,0
125,00510_025t,-135,-15,0
126,00510_026t,-133,-14,0
127,00510_027t,-132,-13,0
128,00510_028t,-131,-13,0
129,00510_029t,-133,-14,0
130,00510_030t,-132,-13,0
131,00510_031t,-131,-12,0
132,00510_032t,-133,-13,0
133,00510_033t,-133,-14,0
134,00510_034t,-133,-14,0
135,00510_035t,-131,-12,0
136,00510_036t,-133,-13,0
137,00510_037t,-132,-13,0
138,00510_038t,-133,-13,0
139,00510_039t,-135,-15,0
140,00510_040t,-132,-13,0
141,00510_041t,-134,-15,0
142,00510_042t,-133,-14,0
143,00510_043t,-132,-13,0
144,00510_044t,-132,-13,0
145,00510_045t,-135,-16,0
146,00510_046t,-137,-17,0
147,00510_047t,-137,-18,0
148,00510_048t,-137,-19,0
149,00510_049t,-133,-14,0
200,01310_000t,-131,-14,0
201,01310_001t,-133,-17,0
202,01310_002t,-132,-16,0
203,01310_003t,-133,-16,0
204,01310_004t,-132,-16,0
205,01310_005t,-133,-17,0
206,01310_006t,-132,-15,0
207,01310_007t,-134,-17,0
209,01310_009t,-133,-16,0
216,01310_016t,-135,-18,0
217,01310_017t,-131,-15,0
218,01310_018t,-133,-16,0
221,01310_021t,-134,-17,0
223,0<310_`^�f,-135,-18,105
224,01310_024t,-134,-17,0
227,01310_027f,-134,-18,17
230,01310_030t,-134,-17,0
231,01310_031t,-131,-15,0
232,01310_032t,-133,-16,0
233,01310_033t,-133,-16,0
234,01310_034t,-132,-15,0
235,01310_035t,-132,-16,0
236,01310_036t,-133,-16,0
237,01310_037t,-131,-15,0
238,01310_038t,-134,-17,0
239,01310_039t,-134,-16,0
240,01310_040t,-133,-16,0
241,01310_041t,-133,-17,0
244,01310_044t,-134,-17,0
245,01310_045t,-134,-17,0
246,01310_046t,-133,-16,0
247,01310_047t,-132,-15,0
248,01310_048t,-130,-14,0
249,01310_049t,-131,-15,0
250,01510_000t,-131,-15,0
251,01510_001t,-130,-14,0
252,01510_002t,-131,-15,0
253,01510_003t,-130,-14,0
254,01510_004t,-134,-17,0
255,01510_005t,-135,-18,0
256,01510_006t,-136,-20,0
257,01510_007t,-138,-21,0
258,01510_008t,-135,-19,0
259,01510_009t,-137,-20,0
261,01510_011t,-137,-21,0
263,01510_013f,-138,-21,2
264,01510_014t,-137,-20,0
265,01510_015t,-135,-18,0
266,01510_016t,-134,-17,0
267,01510_017t,-133,-16,0
268,01510_018t,-134,-17,0
269,01510_019t,-136,-19,0
270,01510_020t,-135,-18,0
272,01510_022t,-136,-19,0
273,01510_023t,-135,-18,0
274,01510_024t,-134,-17,0
276,01510_026t,-134,-17,0
277,01510_027t,-132,-16,0
278,01510_028t,-138,-21,0
281,01510_031t,-135,-18,0
282,01510_032t,-135,-19,0
283,01510_033t,-133,-16,0
284,01510_034t,-133,-17,0
285,01510_035t,-136,-19,0
291,01510_041t,-135,-19,0
292,01510_042t,-136,-19,0
294,01510_044t,-136,-19,0
295,01510_045t,-136,-19,0
296,01510_046t,-133,-17,0
297,01510_047t,-133,-16,0
298,01510_048t,-137,-19,0
299,01510_049t,-133,-16,0
