totalnumber,identifier,rssi,snr,biterrors
0,00000_000t,-109,5,0
1,00000_001t,-110,2,0
2,00000_002t,-112,4,0
3,00000_003t,-113,4,0
4,00000_004t,-119,-2,0
5,00000_005t,-111,4,0
6,00000_006t,-108,5,0
7,00000_007t,-109,5,0
8,00000_008t,-110,5,0
9,00000_009t,-111,4,0
10,00000_010t,-110,5,0
11,00000_011t,-113,3,0
12,00000_012t,-122,-4,0
13,00000_013t,-118,-1,0
14,00000_014t,-109,5,0
15,00000_015t,-108,5,0
16,00000_016t,-109,6,0
17,00000_017t,-108,5,0
18,00000_018t,-108,6,0
19,00000_019t,-111,4,0
20,00000_020t,-110,4,0
21,00000_021t,-110,4,0
22,00000_022t,-109,6,0
23,00000_023t,-112,3,0
24,00000_024t,-106,6,0
25,00000_025t,-108,5,0
26,00000_026t,-106,5,0
27,00000_027t,-108,6,0
28,00000_028t,-106,6,0
29,00000_029t,-106,5,0
30,00000_030t,-111,5,0
31,00000_031t,-108,5,0
32,00000_032t,-109,6,0
33,00000_033t,-109,6,0
34,00000_034t,-109,6,0
35,00000_035t,-109,5,0
36,00000_036t,-109,5,0
37,00000_037t,-109,5,0
38,00000_038t,-109,6,0
39,00000_039t,-111,4,0
40,00000_040t,-111,5,0
41,00000_041t,-110,5,0
42,00000_042t,-110,6,0
43,00000_043t,-111,4,0
44,00000_044t,-110,5,0
45,00000_045t,-108,6,0
46,00000_046t,-111,4,0
47,00000_047t,-109,6,0
48,00000_048t,-108,5,0
49,00000_049t,-108,6,0
50,00010_000t,-108,6,0
51,00010_001t,-108,5,0
52,00010_002t,-109,5,0
53,00010_003t,-109,6,0
54,00010_004t,-106,6,0
55,00010_005t,-106,6,0
56,00010_006t,-108,6,0
57,00010_007t,-106,6,0
58,00010_008t,-106,6,0
59,00010_009t,-108,6,0
60,00010_010t,-109,5,0
61,00010_011t,-106,5,0
62,00010_012t,-106,6,0
63,00010_013t,-108,6,0
64,00010_014t,-106,6,0
65,00010_015t,-106,6,0
66,00010_016t,-105,6,0
67,00010_017t,-106,6,0
68,00010_018t,-108,6,0
69,00010_019t,-106,6,0
70,00010_020t,-108,6,0
71,00010_021t,-108,6,0
72,00010_022t,-106,6,0
73,00010_023t,-105,6,0
74,00010_024t,-106,6,0
75,00010_025t,-110,5,0
76,00010_026t,-109,5,0
77,00010_027t,-106,6,0
78,00010_028t,-105,6,0
79,00010_029t,-109,6,0
80,00010_030t,-106,6,0
81,00010_031t,-106,6,0
82,00010_032t,-109,6,0
83,00010_033t,-110,5,0
84,00010_034t,-108,6,0
85,00010_035t,-109,6,0
86,00010_036t,-110,5,0
87,00010_037t,-111,5,0
88,00010_038t,-111,5,0
89,00010_039t,-105,6,0
90,00010_040t,-104,6,0
91,00010_041t,-106,6,0
92,00010_042t,-108,6,0
93,00010_043t,-112,4,0
94,00010_044t,-109,6,0
null,null,-108,5,0
146,00020_046t,-108,6,0
147,00020_047t,-108,6,0
148,00020_048t,-108,6,0
149,00020_049t,-108,6,0
150,00030_000t,-109,5,0
151,00030_001t,-108,5,0
152,00030_002t,-109,5,0
153,00030_003t,-109,5,0
154,00030_004t,-106,6,0
155,00030_005t,-104,6,0
156,00030_006t,-105,6,0
157,00030_007t,-108,6,0
158,00030_008t,-108,6,0
159,00030_009t,-109,5,0
160,00030_010t,-108,6,0
161,00030_011t,-108,6,0
162,00030_012t,-108,6,0
163,00030_013t,-109,6,0
164,00030_014t,-106,6,0
165,00030_015t,-106,6,0
166,00030_016t,-109,6,0
167,00030_017t,-109,6,0
168,00030_018t,-108,5,0
169,00030_019t,-109,6,0
170,00030_020t,-108,6,0
171,00030_021t,-105,6,0
172,00030_022t,-106,6,0
173,00030_023t,-106,6,0
174,00030_024t,-105,6,0
175,00030_025t,-105,6,0
176,00030_026t,-106,6,0
177,00030_027t,-106,6,0
178,00030_028t,-105,6,0
179,00030_029t,-108,6,0
180,00030_030t,-108,6,0
181,00030_031t,-109,5,0
182,00030_032t,-106,6,0
183,00030_033t,-106,6,0
184,00030_034t,-105,6,0
185,00030_035t,-104,6,0
186,00030_036t,-105,6,0
187,00030_037t,-104,6,0
188,00030_038t,-106,6,0
189,00030_039t,-108,6,0
190,00030_040t,-108,6,0
191,00030_041t,-106,6,0
192,00030_042t,-106,6,0
193,00030_043t,-109,6,0
194,00030_044t,-108,6,0
195,00030_045t,-106,6,0
196,00030_046t,-106,6,0
197,00030_047t,-106,6,0
198,00030_048t,-106,6,0
199,00030_049t,-106,6,0
200,00200_000t,-106,6,0
201,00200_001t,-105,5,0
202,00200_002t,-106,7,0
203,00200_003t,-105,7,0
204,00200_004t,-105,6,0
205,00200_005t,-105,7,0
206,00200_006t,-106,6,0
207,00200_007t,-105,5,0
208,00200_008t,-105,6,0
209,00200_009t,-106,6,0
210,00200_010t,-106,6,0
211,00200_011t,-106,5,0
212,00200_012t,-105,6,0
213,00200_013t,-106,7,0
214,00200_014t,-106,7,0
215,00200_015t,-108,7,0
216,00200_016t,-105,6,0
217,00200_017t,-106,6,0
218,00200_018t,-109,7,0
219,00200_019t,-108,7,0
220,00200_020t,-109,7,0
221,00200_021t,-111,5,0
222,00200_022t,-104,8,0
223,00200_023t,-105,6,0
224,00200_024t,-110,6,0
225,00200_025t,-108,7,0
226,00200_026t,-105,6,0
227,00200_027t,-108,7,0
228,00200_028t,-106,7,0
229,00200_029t,-105,7,0
230,00200_030t,-110,7,0
231,00200_031t,-110,7,0
232,00200_032t,-110,6,0
233,00200_033t,-111,5,0
234,00200_034t,-113,4,0
235,00200_035t,-110,5,0
236,00200_036t,-108,7,0
237,00200_037t,-110,6,0
238,00200_038t,-108,7,0
239,00200_039t,-109,7,0
240,00200_040t,-108,7,0
241,00200_041t,-109,7,0
242,00200_042t,-108,7,0
243,00200_043t,-108,7,0
244,00200_044t,-106,7,0
245,00200_045t,-105,6,0
246,00200_046t,-106,6,0
247,00200_047t,-106,6,0
248,00200_048t,-106,7,0
249,00200_049t,-105,6,0
250,00210_000t,-106,7,0
251,00210_001t,-108,6,0
252,00210_002t,-109,7,0
253,00210_003t,-105,8,0
254,00210_004t,-105,8,0
255,00210_005t,-108,7,0
256,00210_006t,-109,7,0
257,00210_007t,-108,7,0
258,00210_008t,-105,7,0
259,00210_009t,-106,6,0
260,00210_010t,-106,6,0
261,00210_011t,-108,7,0
262,00210_012t,-108,6,0
263,00210_013t,-106,8,0
264,00210_014t,-106,6,0
265,00210_015t,-106,6,0
266,00210_016t,-109,7,0
267,00210_017t,-109,7,0
268,00210_018t,-110,7,0
269,00210_019t,-106,7,0
270,00210_020t,-103,8,0
271,00210_021t,-106,7,0
272,00210_022t,-106,7,0
273,00210_023t,-108,7,0
274,00210_024t,-106,7,0
275,00210_025t,-109,7,0
276,00210_026t,-109,7,0
277,00210_027t,-108,7,0
278,00210_028t,-108,7,0
279,00210_029t,-106,7,0
280,00210_030t,-108,6,0
281,00210_031t,-108,7,0
282,00210_032t,-106,7,0
283,00210_033t,-106,7,0
284,00210_034t,-108,7,0
285,00210_035t,-105,7,0
286,00210_036t,-106,7,0
287,00210_037t,-99,3,0
288,00210_038t,-106,6,0
289,00210_039t,-108,7,0
290,00210_040t,-106,5,0
291,00210_041t,-105,8,0
292,00210_042t,-108,7,0
293,00210_043t,-109,7,0
294,00210_044t,-108,7,0
295,00210_045t,-109,7,0
296,00210_046t,-105,6,0
297,00210_047t,-109,7,0
298,00210_048t,-105,6,0
299,00210_049t,-105,6,0
300,00220_000t,-105,6,0
301,00220_001t,-109,7,0
302,00220_002t,-108,7,0
303,00220_003t,-105,6,0
304,00220_004t,-111,7,0
305,00220_005t,-109,7,0
306,00220_006t,-109,7,0
307,00220_007t,-110,6,0
308,00220_008t,-110,6,0
309,00220_009t,-109,7,0
310,00220_010t,-108,7,0
311,00220_011t,-106,6,0
312,00220_012t,-109,7,0
313,00220_013t,-108,7,0
314,00220_014t,-109,7,0
315,00220_015t,-106,7,0
316,00220_016t,-109,7,0
317,00220_017t,-106,7,0
318,00220_018t,-108,7,0
319,00220_019t,-108,7,0
320,00220_020t,-108,7,0
321,00220_021t,-108,7,0
322,00220_022t,-109,7,0
323,00220_023t,-106,6,0
324,00220_024t,-109,7,0
325,00220_025t,-111,6,0
326,00220_026t,-109,7,0
327,00220_027t,-106,7,0
328,00220_028t,-106,7,0
329,00220_029t,-106,7,0
330,00220_030t,-106,6,0
331,00220_031t,-109,7,0
332,00220_032t,-108,7,0
333,00220_033t,-106,7,0
334,00220_034t,-105,7,0
335,00220_035t,-105,6,0
336,00220_036t,-106,6,0
337,00220_037t,-108,7,0
338,00220_038t,-106,6,0
339,00220_039t,-106,8,0
340,00220_040t,-106,6,0
341,00220_041t,-106,6,0
342,00220_042t,-105,7,0
343,00220_043t,-108,6,0
344,00220_044t,-108,7,0
345,00220_045t,-106,6,0
346,00220_046t,-108,7,0
347,00220_047t,-108,6,0
348,00220_048t,-105,6,0
349,00220_049t,-105,7,0
350,00230_000t,-106,7,0
351,00230_001t,-108,7,0
352,00230_002t,-109,7,0
353,00230_003t,-109,7,0
354,00230_004t,-109,7,0
355,00230_005t,-108,7,0
356,00230_006t,-108,7,0
357,00230_007t,-106,7,0
358,00230_008t,-108,7,0
359,00230_009t,-106,7,0
360,00230_010t,-105,6,0
361,00230_011t,-106,6,0
362,00230_012t,-109,6,0
363,00230_013t,-111,5,0
364,00230_014t,-106,5,0
365,00230_015t,-105,5,0
366,00230_016t,-109,7,0
367,00230_017t,-108,7,0
368,00230_018t,-105,7,0
369,00230_019t,-108,7,0
370,00230_020t,-106,7,0
371,00230_021t,-108,7,0
372,00230_022t,-108,7,0
373,00230_023t,-108,7,0
374,00230_024t,-109,7,0
375,00230_025t,-106,7,0
376,00230_026t,-106,6,0
377,00230_027t,-108,7,0
378,00230_028t,-106,7,0
379,00230_029t,-108,7,0
380,00230_030t,-106,6,0
381,00230_031t,-105,7,0
382,00230_032t,-104,8,0
383,00230_033t,-106,7,0
384,00230_034t,-108,7,0
385,00230_035t,-106,6,0
387,00230_037t,-106,6,0
388,00230_038t,-106,7,0
389,00230_039t,-108,7,0
390,00230_040t,-106,7,0
391,00230_041t,-106,7,0
392,00230_042t,-108,7,0
393,00230_043t,-106,6,0
394,00230_044t,-106,7,0
395,00230_045t,-108,7,0
396,00230_046t,-109,7,0
397,00230_047t,-109,7,0
398,00230_048t,-109,7,0
399,00230_049t,-106,7,0
400,00400_000t,-105,6,0
401,00400_001t,-106,6,0
402,00400_002t,-106,7,0
403,00400_003t,-105,7,0
404,00400_004t,-108,7,0
405,00400_005t,-108,6,0
406,00400_006t,-106,7,0
407,00400_007t,-104,7,0
408,00400_008t,-106,6,0
409,00400_009t,-105,6,0
410,00400_010t,-106,6,0
411,00400_011t,-108,8,0
412,00400_012t,-106,6,0
413,00400_013t,-106,7,0
414,00400_014t,-106,7,0
415,00400_015t,-105,7,0
416,00400_016t,-105,7,0
417,00400_017t,-108,7,0
418,00400_018t,-106,6,0
419,00400_019t,-106,7,0
420,00400_020t,-106,7,0
421,00400_021t,-108,6,0
422,00400_022t,-108,7,0
423,00400_023t,-105,7,0
424,00400_024t,-105,7,0
425,00400_025t,-105,6,0
426,00400_026t,-106,7,0
427,00400_027t,-106,6,0
428,00400_028t,-105,7,0
429,00400_029t,-108,6,0
430,00400_030t,-109,7,0
431,00400_031t,-106,7,0
432,00400_032t,-108,7,0
433,00400_033t,-108,7,0
434,00400_034t,-108,7,0
435,00400_035t,-112,4,0
436,00400_036t,-110,6,0
437,00400_037t,-113,4,0
438,00400_038t,-108,7,0
439,00400_039t,-109,7,0
440,00400_040t,-110,5,0
441,00400_041t,-109,6,0
442,00400_042t,-108,8,0
443,00400_043t,-109,7,0
444,00400_044t,-110,5,0
445,00400_045t,-108,7,0
446,00400_046t,-108,7,0
447,00400_047t,-106,7,0
448,00400_048t,-108,7,0
449,00400_049t,-106,7,0
450,00410_000t,-108,7,0
451,00410_001t,-108,6,0
452,00410_002t,-105,6,0
453,00410_003t,-103,7,0
454,00410_004t,-106,6,0
455,00410_005t,-105,6,0
456,00410_006t,-105,6,0
457,00410_007t,-105,6,0
458,00410_008t,-108,6,0
459,00410_009t,-109,6,0
460,00410_010t,-108,6,0
461,00410_011t,-105,6,0
462,00410_012t,-106,6,0
463,00410_013t,-110,5,0
464,00410_014t,-106,7,0
465,00410_015t,-105,6,0
466,00410_016t,-106,6,0
467,00410_017t,-108,6,0
468,00410_018t,-108,6,0
469,00410_019t,-105,5,0
470,00410_020t,-109,6,0
471,00410_021t,-109,6,0
472,00410_022t,-109,7,0
473,00410_023t,-106,6,0
474,00410_024t,-110,4,0
475,00410_025t,-108,6,0
476,00410_026t,-106,6,0
477,00410_027t,-104,6,0
478,00410_028t,-105,7,0
479,00410_029t,-105,6,0
480,00410_030t,-105,5,0
481,00410_031t,-106,6,0
