totalnumber,identifier,rssi,snr,biterrors
0,00000_000t,-128,-9,0
2,00000_002t,-125,-7,0
3,00000_003t,-125,-6,0
4,00000_004t,-125,-7,0
5,00000_005t,-125,-7,0
16,00000_016t,-126,-8,0
31,00000_031f,-127,-8,4
38,���80_038f,-128,-9,17
40,00000_040t,-126,-7,0
41,00000_041t,-126,-7,0
42,00000_042t,-126,-7,0
63,00010_013t,-126,-8,0
71,00010_021t,-127,-9,0
115,��B�q�2�f,-131,-12,125
117,00020_017t,-129,-10,0
151,00030_001f,-128,-9,8
162,M0C�0_01f,-130,-11,63
184,00030_034f,-129,-11,22
207,00200_007t,-132,-13,0
209,00200_009t,-132,-13,0
210,00200_010t,-130,-11,0
211,00200_011t,-132,-12,0
221,90002O03�f,-134,-15,19
223,00200_023t,-131,-13,0
224,00200_024t,-131,-12,0
230,00200_030t,-130,-11,0
234,00200_025f,-133,-14,3
235,00200_035t,-134,-15,0
242,00200_042t,-128,-10,0
243,00200_043t,-126,-8,0
244,00200_044t,-133,-14,0
245,00200_045t,-133,-14,0
248,00200_048t,-131,-12,0
256,00210_006f,-135,-17,52
258,00210_008t,-133,-14,0
268,00210_018t,-128,-10,0
269,00210_019t,-129,-10,0
271,00210_021t,-130,-11,0
277,00210_027t,-133,-14,0
278,00210_028t,-131,-12,0
279,00210_029t,-131,-12,0
281,00210_031t,-134,-15,0
282,00210_032t,-128,-9,0
285,00210_035t,-131,-12,0
290,00210_040t,-131,-12,0
291,00210_041t,-133,-14,0
293,00210_043t,-133,-14,0
294,00210_044t,-130,-11,0
296,00210_046t,-133,-14,0
297,00210_047t,-130,-11,0
300,00220_000t,-125,-6,0
301,00220_001t,-132,-13,0
303,00220_003t,-134,-15,0
305,00220_005t,-133,-14,0
308,00220_008t,-134,-15,0
311,00220_011t,-132,-13,0
312,00220_012t,-133,-14,0
313,00220_013t,-133,-14,0
315,00220_015t,-128,-10,0
322,00220_022t,-132,-13,0
323,00220_023t,-129,-11,0
326,00220_026t,-134,-14,0
328,00220_028t,-127,-9,0
330,00220_030t,-134,-15,0
333,00220_033t,-132,-13,0
338,00220_038t,-132,-13,0
340,00220_040t,-133,-14,0
346,00220_046t,-131,-13,0
348,00220_048t,-134,-15,0
352,00230_002t,-129,-10,0
353,00230_003t,-131,-13,0
355,00230_005t,-130,-11,0
356,00230_006t,-131,-15,0
358,00230_008t,-131,-12,0
360,00230_010t,-124,-6,0
367,00230_017t,-135,-16,0
368,00230_018t,-132,-13,0
370,00230_020t,-132,-14,0
372,00230_022t,-132,-13,0
374,00230_024t,-135,-16,0
376,00230_026t,-131,-12,0
377,00230_027t,-134,-15,0
378,00230_028t,-134,-14,0
380,00230_030t,-130,-11,0
381,00230_031t,-131,-12,0
382,00230_032t,-131,-13,0
383,00230_033t,-128,-10,0
384,00230_034t,-132,-13,0
386,00230_036t,-132,-14,0
390,00230_040t,-131,-13,0
394,00230_044t,-129,-10,0
395,00230_045t,-129,-10,0
396,00230_046t,-127,-9,0
