totalnumber,identifier,rssi,snr,biterrors
50,00310_000t,-136,-17,0
51,00310_001t,-136,-17,0
53,00310_003t,-134,-15,0
54,00310_004t,-133,-14,0
55,00310_005t,-132,-14,0
56,00310_006t,-133,-14,0
57,00310_007t,-132,-14,0
58,00310_008t,-133,-14,0
59,00310_009t,-134,-16,0
60,00310_010t,-134,-16,0
61,00310_011t,-129,-11,0
62,00310_012t,-134,-15,0
63,00310_013t,-134,-15,0
64,00310_014t,-133,-14,0
65,00310_015t,-132,-13,0
66,00310_016t,-135,-15,0
67,00310_017t,-134,-15,0
68,00310_018t,-132,-14,0
69,00310_019t,-132,-14,0
70,00310_020t,-135,-16,0
71,00310_021t,-135,-16,0
73,00310_023t,-133,-14,0
74,00310_024t,-132,-14,0
75,00310_025t,-132,-14,0
76,00310_026t,-132,-13,0
77,00310_027t,-131,-12,0
78,00310_028t,-131,-13,0
79,00310_029t,-131,-13,0
80,00310_030t,-132,-14,0
81,00310_031t,-132,-14,0
82,00310_032t,-132,-14,0
83,00310_033t,-130,-12,0
84,00310_034t,-133,-14,0
85,00310_035t,-131,-13,0
86,00310_036t,-133,-14,0
87,00310_037t,-135,-16,0
88,00310_038t,-133,-15,0
89,00310_039t,-133,-15,0
90,00310_040t,-133,-14,0
91,00310_041t,-131,-13,0
92,00310_042t,-133,-15,0
93,00310_043t,-131,-13,0
94,00310_044t,-131,-12,0
95,00310_045t,-132,-13,0
96,00310_046t,-133,-14,0
97,00310_047t,-133,-14,0
98,00310_048t,-133,-14,0
99,00310_049t,-132,-14,0
100,00510_000t,-131,-13,0
101,00510_001t,-132,-13,0
102,00510_002t,-132,-14,0
103,00510_003t,-133,-15,0
104,00510_004t,-133,-15,0
105,00510_005t,-133,-14,0
106,00510_006t,-133,-15,0
107,00510_007t,-134,-15,0
108,00510_008t,-133,-14,0
109,00510_009t,-131,-13,0
110,00510_010t,-133,-14,0
111,00510_011t,-133,-14,0
112,00510_012t,-134,-15,0
113,00510_013t,-134,-15,0
114,00510_014t,-136,-17,0
115,00510_015t,-139,-20,0
116,00510_016t,-136,-17,0
117,00510_017t,-133,-15,0
118,00510_018t,-138,-19,0
119,00510_019t,-136,-17,0
120,00510_020t,-133,-14,0
121,00510_021t,-133,-14,0
122,00510_022t,-133,-15,0
123,00510_023t,-134,-15,0
124,00510_024t,-133,-14,0
125,00510_025t,-132,-14,0
126,00510_026t,-132,-14,0
127,00510_027t,-132,-14,0
128,00510_028t,-133,-14,0
129,00510_029t,-133,-14,0
130,00510_030t,-135,-16,0
131,00510_031t,-134,-15,0
132,00510_032t,-132,-13,0
133,00510_033t,-132,-13,0
134,00510_034t,-133,-14,0
135,00510_035t,-133,-15,0
136,00510_036t,-134,-15,0
137,00510_037t,-135,-16,0
138,00510_038t,-134,-15,0
139,00510_039t,-139,-20,0
140,00510_040t,-135,-17,0
141,00510_041t,-136,-17,0
142,00510_042t,-135,-17,0
143,00510_043t,-135,-16,0
144,00510_044t,-139,-20,0
146,00514p06f,-140,-21,4
147,00510_047t,-137,-18,0
148,00510_048t,-137,-19,0
149,00510_049t,-137,-18,0
250,01510_000t,-131,-15,0
251,01510_001t,-133,-16,0
252,01510_002t,-133,-17,0
253,01510_003t,-131,-15,0
254,01510_004t,-135,-18,0
255,01510_005t,-135,-19,0
257,01510_007t,-135,-19,0
258,01510_008t,-134,-18,0
259,01510_009t,-133,-17,0
260,01510_010t,-137,-21,0
261,01510_011t,-135,-19,0
263,01510_013t,-136,-20,0
264,01510_014t,-137,-21,0
266,01510_016t,-135,-19,0
267,01510_017t,-137,-21,0
269,01510_0Ѳf,-138,-22,38
270,01510_020t,-134,-18,0
271,01510_021t,-134,-18,0
272,01510_022t,-135,-18,0
273,01510_023t,-135,-19,0
274,01510_024t,-135,-18,0
275,01510_025t,-132,-16,0
276,01510_026t,-132,-15,0
277,01510_027t,-132,-15,0
278,01510_028t,-131,-15,0
279,01510_029t,-131,-15,0
280,01510_030t,-132,-16,0
281,01510_031t,-130,-14,0
282,01510_032t,-133,-17,0
283,01510_033t,-133,-16,0
284,01510_034t,-137,-20,0
288,01510_038t,-135,-19,0
289,01510_039t,-130,-14,0
290,01510_040t,-131,-15,0
291,01510_041t,-135,-19,0
292,01510_042t,-134,-18,0
293,01510_043t,-133,-16,0
294,01510_044t,-131,-15,0
295,01510_045t,-134,-17,0
296,01510_046t,-133,-17,0
297,01510_047t,-134,-17,0
298,01510_048t,-133,-17,0
299,01510_049t,-133,-17,0
