totalnumber,identifier,rssi,snr,biterrors
42,0`!!1?�:2f,-131,-12,34
44,00110_044t,-131,-12,0
45,00110_045t,-130,-11,0
46,00110_046t,-130,-11,0
48,00110_048t,-130,-11,0
51,00310_001t,-137,-17,0
52,00310_002t,-135,-15,0
53,00310_003t,-135,-15,0
55,00310_005t,-133,-14,0
57,00310_007t,-133,-14,0
58,00310_008t,-132,-13,0
59,00310_009t,-132,-12,0
60,00310_010t,-131,-12,0
61,00310_011t,-132,-13,0
62,00310_012t,-131,-12,0
63,00310_013t,-135,-16,0
64,00310_014t,-134,-15,0
66,00310_016t,-132,-13,0
67,00310_017t,-134,-15,0
69,00310_019t,-132,-13,0
71,00310_021t,-133,-14,0
72,00310_022t,-136,-17,0
75,00310_025f,-136,-17,2
77,00310_027t,-134,-15,0
78,00310_028t,-132,-13,0
79,00310_029t,-136,-17,0
80,00310_030t,-134,-14,0
81,00310_031t,-134,-14,0
82,00310_032t,-135,-16,0
83,00310_033t,-134,-14,0
84,00310_034t,-135,-15,0
85,00310_035t,-132,-13,0
86,00310_036t,-132,-13,0
87,00310_037t,-131,-13,0
88,00310_038t,-135,-15,0
89,00310_039t,-133,-14,0
90,00310_040t,-133,-14,0
91,00310_041t,-132,-13,0
92,00310_042t,-131,-11,0
93,00310_043t,-131,-12,0
94,00310_044t,-132,-13,0
95,00310_045t,-134,-15,0
96,00310_046t,-135,-16,0
97,00310_047t,-135,-16,0
98,00310_048t,-133,-13,0
99,00310_049t,-132,-12,0
100,00510_000t,-130,-11,0
101,00510_001t,-131,-11,0
102,00510_002t,-131,-11,0
103,00510_003t,-132,-12,0
104,00510_004t,-130,-11,0
105,00510_005t,-134,-14,0
106,00510_006t,-133,-13,0
107,00510_007t,-130,-11,0
108,00510_008t,-131,-11,0
109,00510_009t,-131,-12,0
110,00510_010t,-133,-13,0
111,00510_011t,-135,-15,0
112,00510_012t,-136,-16,0
113,00510_013t,-135,-15,0
114,00510_014t,-133,-14,0
115,00510_015t,-133,-14,0
116,00510_016t,-134,-14,0
117,00510_017t,-132,-13,0
118,00510_018t,-134,-14,0
119,00510_019t,-132,-13,0
120,00510_020t,-134,-14,0
121,00510_021t,-135,-15,0
122,00510_022t,-134,-15,0
123,00510_023t,-132,-13,0
124,00510_024t,-133,-13,0
125,00510_025t,-132,-13,0
126,00510_026t,-134,-14,0
127,00510_027t,-133,-14,0
128,00510_028t,-134,-15,0
129,00510_029t,-133,-14,0
130,00510_030t,-133,-14,0
131,00510_031t,-134,-15,0
132,00510_032t,-133,-14,0
133,00510_033t,-132,-13,0
134,00510_034t,-134,-15,0
135,00510_035t,-133,-13,0
136,00510_036t,-135,-15,0
137,00510_037t,-133,-14,0
138,00510_038t,-133,-14,0
139,00510_039t,-133,-14,0
140,00510_040t,-134,-15,0
141,00510_041t,-134,-14,0
142,00510_042t,-134,-15,0
143,00510_043t,-137,-17,0
144,00510_044t,-137,-17,0
145,00510_045t,-134,-15,0
146,00510_046t,-135,-16,0
147,00510_047t,-135,-15,0
148,00510_048t,-134,-15,0
149,00510_049t,-136,-16,0
201,01310_001t,-133,-17,0
202,01310_002t,-134,-17,0
203,01310_003t,-135,-18,0
206,01310_006t,-132,-16,0
208,01310_008t,-132,-16,0
209,01310_009t,-133,-17,0
210,01310_010t,-134,-17,0
212,01310_012t,-135,-18,0
213,01310_013t,-132,-16,0
214,01310_014t,-134,-17,0
229,01310_029f,-136,-19,18
246,01U10_046f,-135,-18,4
250,01510_000t,-133,-17,0
251,01510_001t,-133,-16,0
252,01510_002t,-134,-16,0
253,01510_003t,-133,-16,0
254,01510_004t,-131,-15,0
255,01510_005t,-131,-14,0
256,01510_006t,-131,-15,0
257,01510_007t,-132,-15,0
258,01510_008t,-133,-16,0
259,01510_009t,-134,-17,0
260,01510_010t,-133,-16,0
261,01510_011t,-132,-15,0
262,01510_012t,-131,-15,0
263,01510_013t,-133,-16,0
264,01510_014t,-133,-16,0
265,01510_015t,-134,-16,0
266,01510_016t,-133,-17,0
267,01510_017t,-133,-17,0
268,01510_018t,-133,-17,0
269,01510_019t,-134,-18,0
270,01510_020t,-134,-17,0
271,01510_021t,-135,-18,0
272,01510_022t,-136,-19,0
274,01510_024t,-136,-20,0
275,01510_025t,-137,-20,0
276,01510_026t,-137,-19,0
277,01510_027t,-136,-19,0
278,01510_028t,-134,-18,0
279,01510_029t,-133,-16,0
280,01510_030t,-133,-16,0
281,01510_031t,-133,-16,0
282,01510_032t,-135,-18,0
283,01510_033t,-135,-18,0
284,01510_034t,-135,-18,0
285,01510_035t,-136,-19,0
286,01510_036t,-136,-19,0
287,01510_037t,-136,-19,0
288,01510_038t,-136,-19,0
289,01510_039t,-133,-17,0
290,01510_040t,-135,-18,0
291,01510_041t,-134,-18,0
292,01510_042t,-134,-17,0
293,01510_043t,-135,-18,0
294,01510_044t,-136,-19,0
295,01510_045t,-136,-19,0
296,01510_046t,-138,-21,0
297,01510_047t,-136,-19,0
298,01510_048t,-135,-19,0
299,01510_049t,-138,-21,0
