totalnumber,identifier,rssi,snr,biterrors
5,00110_005f,-126,-13,11
8,00110_008t,-126,-12,0
9,00110_009t,-125,-11,0
10,00110_010t,-125,-11,0
14,00110_01�f,-127,-13,24
16,00110_016t,-127,-12,0
18,00110_018t,-127,-12,0
23,0011 N0"3f,-126,-13,5
25,00110_025f,-125,-12,6
27,00110_027t,-126,-11,0
29,00110_029t,-125,-12,0
36,00110_036t,-126,-11,0
40,00110_040f,-126,-12,6
42,00110_042f,-126,-12,2
44,00110_044t,-124,-10,0
49,00110_049t,-125,-12,0
50,00310_000t,-126,-12,0
51,00310_001t,-127,-12,0
52,00310_002t,-126,-12,0
53,00310_003t,-126,-12,0
54,00310_004t,-127,-13,0
56,00310_006t,-126,-12,0
57,00310_007t,-126,-12,0
58,00310_008t,-127,-13,0
59,00310_009t,-127,-13,0
60,00310_010t,-127,-13,0
61,00310_011t,-127,-15,0
62,00310_012t,-127,-13,0
63,00310_013t,-127,-12,0
64,00310_014t,-127,-12,0
65,00310_015t,-127,-13,0
66,00310_016t,-127,-13,0
67,00310_017t,-126,-12,0
68,00310_018t,-127,-13,0
69,00310_019t,-127,-14,0
70,00310_020t,-127,-13,0
71,00310_021t,-127,-13,0
72,00310_022t,-125,-12,0
73,00310_023t,-126,-14,0
74,00310_024t,-127,-14,0
75,00310_025t,-126,-15,0
76,00310_026t,-125,-13,0
77,00310_027t,-127,-13,0
78,00310_028t,-126,-13,0
79,00310_029t,-128,-15,0
80,00310_030t,-126,-13,0
81,00310_031t,-126,-12,0
82,00310_032t,-126,-12,0
83,00310_033t,-127,-13,0
84,00310_034t,-126,-14,0
85,00310_035t,-126,-13,0
86,00310_036t,-126,-14,0
87,00310_037t,-126,-12,0
88,00310_038t,-127,-13,0
89,00310_039t,-127,-15,0
90,00310_040t,-128,-14,0
91,00310_041t,-126,-14,0
92,00310_042t,-128,-14,0
93,00310_043t,-127,-14,0
94,00310_044t,-126,-11,0
95,00310_045t,-127,-13,0
96,00310_046t,-127,-12,0
97,00310_047t,-127,-13,0
98,00310_048t,-127,-13,0
99,00310_049t,-126,-14,0
100,00510_000t,-126,-15,0
101,00510_001t,-126,-11,0
102,00510_002t,-126,-12,0
103,00510_003t,-125,-11,0
104,00510_004t,-125,-13,0
105,00510_005t,-125,-12,0
106,00510_006t,-126,-12,0
107,00510_007t,-126,-14,0
108,00510_008t,-126,-13,0
109,00510_009t,-126,-14,0
110,00510_010t,-127,-12,0
111,00510_011t,-126,-12,0
112,00510_012t,-125,-13,0
113,00510_013t,-127,-13,0
114,00510_014t,-126,-14,0
115,00510_015t,-126,-13,0
116,00510_016t,-126,-12,0
117,00510_017t,-125,-11,0
118,00510_018t,-126,-11,0
119,00510_019t,-127,-14,0
120,00510_020t,-125,-13,0
121,00510_021t,-126,-13,0
122,00510_022t,-125,-12,0
123,00510_023t,-126,-13,0
124,00510_024t,-127,-13,0
125,00510_025t,-126,-14,0
127,00510_027t,-126,-13,0
128,00510_028t,-127,-13,0
129,00510_029t,-126,-12,0
130,00510_030t,-124,-11,0
131,00510_031t,-126,-15,0
132,00510_032t,-127,-13,0
133,00510_033t,-126,-13,0
134,00510_034t,-126,-12,0
135,00510_035t,-126,-13,0
136,00510_036t,-125,-11,0
137,00510_037t,-124,-11,0
138,00510_038t,-125,-12,0
139,00510_039t,-127,-13,0
140,00510_040t,-125,-12,0
141,00510_041t,-128,-14,0
142,00510_042t,-125,-12,0
143,00510_043t,-126,-14,0
144,00510_044t,-126,-13,0
145,00510_045t,-127,-15,0
146,00510_046t,-126,-13,0
147,00510_047t,-126,-14,0
148,00510_048t,-127,-15,0
149,00510_049t,-126,-13,0
160,0!!!0����f,-125,-13,76
174,0��1?`f,-124,-14,100
200,01310_000t,-127,-16,0
201,01310_001t,-127,-15,0
202,01310_002t,-126,-16,0
204,01310_004t,-125,-17,0
205,01310_005t,-126,-15,0
