totalnumber,identifier,rssi,snr,biterrors
0,00310_000t,-81,7,0
1,00310_001t,-80,8,0
2,00310_002t,-86,7,0
3,00310_003t,-91,4,0
4,00310_004t,-97,7,0
5,00310_005t,-102,6,0
6,00310_006t,-99,6,0
7,00310_007t,-96,5,0
8,00310_008t,-101,6,0
9,00310_009t,-102,7,0
10,00310_010t,-113,3,0
11,00310_011t,-108,3,0
12,00310_012t,-110,5,0
13,00310_013t,-109,5,0
14,00310_014t,-102,6,0
15,00310_015t,-110,5,0
16,00310_016t,-115,2,0
17,00310_017t,-115,2,0
18,00310_018t,-112,4,0
19,00310_019t,-115,0,0
20,00310_020t,-129,-10,0
21,00310_021t,-125,-7,0
23,00S�0_09#f,-130,-11,27
26,00310_026f,-129,-12,1
28,00310_028t,-128,-11,0
42,00310_042t,-133,-14,0
43,00310_043t,-129,-12,0
44,00310_044t,-131,-15,0
45,00310_045t,-130,-13,0
47,00310_047t,-129,-12,0
48,00310_048t,-130,-13,0
50,00310_050t,-131,-13,0
59,00310_059f,-134,-16,15
63,00310_063t,-131,-12,0
64,00310_064t,-131,-13,0
65,00310_065t,-130,-12,0
66,00310_066t,-131,-13,0
67,00310_067t,-127,-9,0
68,00310_068t,-131,-12,0
69,00310_069t,-126,-7,0
70,00310_070t,-125,-7,0
71,00310_071t,-128,-9,0
73,00310_073t,-125,-8,0
75,00310_075t,-132,-13,0
76,00310_076t,-121,-4,0
78,00310_078f,-136,-17,10
79,00310_079t,-131,-12,0
0,00310_000t,-125,-7,0
1,00310_001t,-122,-4,0
5,00310_005f,-130,-11,6
7,00310_007t,-131,-12,0
8,00310_008t,-131,-12,0
9,00310_009t,-130,-11,0
10,00310_010t,-131,-13,0
11,00310_011t,-129,-12,0
14,00310_014t,-132,-14,0
20,00310_020t,-133,-14,0
22,00310_022t,-129,-11,0
23,00310_023t,-130,-11,0
40,00310_040f,-132,-13,2
44,00310_044t,-134,-15,0
50,00310_�=0f,-128,-20,29
58,00U1_65�f,-132,-19,82
62,00310_062t,-133,-16,0
63,00310_063t,-132,-15,0
64,00310_064t,-133,-15,0
65,00310_065t,-131,-15,0
66,00310_066t,-133,-17,0
73,@0310_�5Lf,-128,-18,86
0,00310_000t,-63,7,0
1,00310_001t,-69,7,0
2,00310_002t,-76,7,0
3,00310_003t,-82,7,0
4,00310_004t,-86,7,0
5,00310_005t,-83,7,0
6,00310_006t,-81,7,0
7,00310_007t,-91,8,0
8,00310_008t,-93,7,0
9,00310_009t,-101,8,0
10,00310_010t,-111,5,0
11,00310_011t,-111,5,0
12,00310_012t,-99,8,0
13,00310_013t,-110,6,0
14,00310_014t,-109,6,0
15,00310_015t,-108,6,0
16,00310_016t,-129,-10,0
17,00310_017t,-127,-9,0
18,00310_018t,-125,-7,0
21,00310_021t,-131,-12,0
24,00310_024t,-133,-13,0
25,00310_025t,-122,-4,0
26,00310_026t,-123,-4,0
28,00310_028t,-126,-8,0
30,003�0_030f,-131,-15,11
32,00310_032t,-135,-16,0
34,00310_034t,-133,-14,0
40,00310_040f,-131,-19,22
41,00310_041t,-129,-10,0
42,00310_042t,-133,-13,0
43,00310_043t,-131,-12,0
52,00310_052t,-133,-14,0
57,00310_057t,-131,-12,0
59,00310_059t,-136,-16,0
60,00310_060t,-135,-16,0
66,00310_066t,-131,-12,0
68,00310_068f,-130,-11,22
69,00310_069t,-117,-1,0
70,00310_070t,-108,6,0
71,00310_071t,-103,8,0
72,00310_072t,-104,7,0
73,00310_073t,-102,8,0
74,00310_074t,-103,8,0
75,00310_075t,-105,6,0
76,00310_076t,-104,6,0
77,00310_077t,-104,7,0
78,00310_078t,-105,7,0
79,00310_079t,-105,7,0
1,00310_001t,-125,-9,0
2,00310_002t,-129,-11,0
4,00310_004f,-130,-12,12
8,00310_0;f,-132,-15,36
10,00310_010t,-121,-9,0
11,00310_011t,-121,-9,0
12,00310_012t,-121,-10,0
17,00310_017f,-129,-16,3
26,00310_8R6f,-124,-12,63
32,00310_032f,-124,-10,22
34,00310_034t,-126,-11,0
36,00310_036t,-127,-12,0
48,00310_0<8f,-127,-12,25
53,00310_053t,-125,-13,0
65,00310_065t,-132,-16,0
66,00310_066t,-127,-16,0
68,00310_068t,-125,-16,0
70,00310_070t,-129,-14,0
71,00310_071t,-129,-13,0
72,00310_072t,-128,-13,0
75,00310_075t,-131,-15,0
78,004��_078f,-131,-15,24
