totalnumber,identifier,rssi,snr,biterrors
0,00110_000t,-126,-8,0
1,00110_001t,-126,-8,0
2,00110_002t,-128,-9,0
3,00110_003t,-128,-10,0
4,00110_004t,-128,-11,0
6,00110_006t,-126,-8,0
7,00110_007t,-125,-8,0
10,00110_010t,-126,-8,0
11,00110_011t,-125,-8,0
12,00110_012t,-125,-7,0
13,00110_013t,-125,-7,0
14,00110_014t,-124,-6,0
15,00110_015t,-126,-7,0
16,00110_016t,-125,-7,0
17,00110_017t,-126,-8,0
18,00110_018t,-127,-9,0
19,00110_019t,-127,-9,0
20,00110_020t,-127,-9,0
21,00110_021t,-128,-10,0
22,00110_022t,-128,-9,0
23,00110_023t,-127,-9,0
24,00110_024t,-127,-9,0
25,00110_025t,-129,-11,0
26,00110_026t,-128,-10,0
27,00110_027t,-128,-10,0
28,00110_028t,-128,-10,0
29,00110_029t,-127,-9,0
30,00110_030t,-127,-9,0
31,00110_031t,-128,-11,0
32,00110_032t,-127,-9,0
33,00110_033t,-127,-9,0
34,00110_034t,-127,-9,0
35,00110_035t,-126,-8,0
36,00110_036t,-125,-7,0
37,00110_037t,-124,-6,0
38,00110_038t,-124,-6,0
39,00110_039t,-125,-7,0
40,00110_040t,-125,-7,0
41,00110_041t,-127,-9,0
42,00110_042t,-127,-8,0
43,00110_043t,-126,-8,0
44,00110_044t,-125,-7,0
45,00110_045t,-124,-6,0
46,00110_046t,-125,-7,0
50,00310_000t,-126,-8,0
51,00310_001t,-125,-7,0
52,00310_002t,-128,-10,0
53,00310_003t,-127,-8,0
54,00310_004t,-128,-10,0
55,00310_005t,-130,-11,0
56,00310_006t,-128,-9,0
57,00310_007t,-131,-12,0
58,00310_008t,-125,-7,0
59,00310_009t,-125,-7,0
60,00310_010t,-127,-8,0
61,00310_011t,-127,-9,0
62,00310_012t,-126,-8,0
63,00310_013t,-126,-7,0
64,00310_014t,-125,-7,0
65,00310_015t,-125,-6,0
66,00310_016t,-125,-7,0
67,00310_017t,-124,-6,0
68,00310_018t,-124,-5,0
69,00310_019t,-123,-5,0
70,00310_020t,-123,-5,0
71,00310_021t,-124,-6,0
72,00310_022t,-121,-4,0
73,00310_023t,-124,-6,0
74,00310_024t,-123,-5,0
